"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted"
"351",3453.71997070312,3489.080078125,3440.88989257812,3483.34008789062,3724550000,3483.34008789062
"352",3493.5,3515.76000976562,3480.44995117188,3483.81005859375,4688030000,3483.81005859375
"353",3493.65991210938,3502.419921875,3419.92993164062,3426.919921875,4091080000,3426.919921875
"354",3439.3798828125,3476.92993164062,3435.64990234375,3443.1201171875,3917850000,3443.1201171875
"355",3439.90991210938,3464.86010742188,3433.06005859375,3435.56005859375,4103960000,3435.56005859375
"356",3438.5,3460.53002929688,3415.34008789062,3453.48999023438,4172060000,3453.48999023438
"357",3464.89990234375,3466.4599609375,3440.44995117188,3465.38989257812,3651600000,3465.38989257812
"358",3441.419921875,3441.419921875,3364.86010742188,3400.96997070312,4002210000,3400.96997070312
"359",3403.14990234375,3409.51000976562,3388.7099609375,3390.67993164062,3962400000,3390.67993164062
"360",3342.47998046875,3342.47998046875,3268.88989257812,3271.03002929688,5139970000,3271.03002929688
"361",3277.169921875,3341.05004882812,3259.82006835938,3310.11010742188,4911860000,3310.11010742188
"362",3293.59008789062,3304.92993164062,3233.93994140625,3269.9599609375,4843930000,3269.9599609375
"363",3296.19995117188,3330.13989257812,3279.73999023438,3310.23999023438,4314690000,3310.23999023438
"364",3336.25,3389.48999023438,3336.25,3369.15991210938,4241380000,3369.15991210938
"365",3406.4599609375,3486.25,3405.169921875,3443.43994140625,4790400000,3443.43994140625
"366",3485.73999023438,3529.05004882812,3485.73999023438,3510.44995117188,4858150000,3510.44995117188
"367",3508.34008789062,3521.580078125,3484.34008789062,3509.43994140625,4842460000,3509.43994140625
"368",3583.0400390625,3645.98999023438,3547.47998046875,3550.5,8570510000,3550.5
"369",3543.26000976562,3557.21997070312,3511.90991210938,3545.53002929688,6037470000,3545.53002929688
"370",3563.21997070312,3581.15991210938,3557,3572.65991210938,4635560000,3572.65991210938
"371",3562.669921875,3569.02001953125,3518.580078125,3537.01000976562,4909660000,3537.01000976562
"372",3552.57006835938,3593.65991210938,3552.57006835938,3585.14990234375,4719580000,3585.14990234375
"373",3600.15991210938,3628.51000976562,3600.15991210938,3626.90991210938,5295510000,3626.90991210938
"374",3610.31005859375,3623.11010742188,3588.67993164062,3609.53002929688,4812180000,3609.53002929688
"375",3612.09008789062,3619.09008789062,3567.330078125,3567.7900390625,5284810000,3567.7900390625
"376",3559.40991210938,3585.21997070312,3543.84008789062,3581.8701171875,4363370000,3581.8701171875
"377",3579.31005859375,3581.22998046875,3556.85009765625,3557.5400390625,4236370000,3557.5400390625
"378",3566.82006835938,3589.81005859375,3552.77001953125,3577.59008789062,5057550000,3577.59008789062
"379",3594.52001953125,3642.31005859375,3594.52001953125,3635.40991210938,6280290000,3635.40991210938
"380",3635.5,3635.5,3617.76000976562,3629.64990234375,4910440000,3629.64990234375
"381",3638.55004882812,3644.31005859375,3629.330078125,3638.35009765625,2778390000,3638.35009765625
"382",3634.17993164062,3634.17993164062,3594.38989257812,3621.6298828125,6308410000,3621.6298828125
"383",3645.8701171875,3678.44995117188,3645.8701171875,3662.44995117188,5418480000,3662.44995117188
"384",3653.78002929688,3670.9599609375,3644.84008789062,3669.01000976562,5041250000,3669.01000976562
"385",3668.28002929688,3682.72998046875,3657.169921875,3666.71997070312,5065340000,3666.71997070312
"386",3670.93994140625,3699.19995117188,3670.93994140625,3699.1201171875,5099620000,3699.1201171875
"387",3694.72998046875,3697.40991210938,3678.8798828125,3691.9599609375,4804500000,3691.9599609375
"388",3683.05004882812,3708.44995117188,3678.830078125,3702.25,4584390000,3702.25
"389",3705.97998046875,3712.38989257812,3660.5400390625,3672.82006835938,5232800000,3672.82006835938
"390",3659.1298828125,3678.48999023438,3645.17993164062,3668.10009765625,4658480000,3668.10009765625
"391",3656.080078125,3665.90991210938,3633.39990234375,3663.4599609375,4375470000,3663.4599609375
"392",3675.27001953125,3697.61010742188,3645.84008789062,3647.48999023438,4623850000,3647.48999023438
"393",3666.40991210938,3695.2900390625,3659.6201171875,3694.6201171875,4387080000,3694.6201171875
"394",3696.25,3711.27001953125,3688.57006835938,3701.169921875,4067040000,3701.169921875
"395",3713.64990234375,3725.1201171875,3710.8701171875,3722.47998046875,4192810000,3722.47998046875
"396",3722.38989257812,3726.69995117188,3685.84008789062,3709.40991210938,7097100000,3709.40991210938
"397",3684.28002929688,3702.89990234375,3636.47998046875,3694.919921875,4748580000,3694.919921875
"398",3698.080078125,3698.26000976562,3676.15991210938,3687.26000976562,4053310000,3687.26000976562
"399",3693.419921875,3711.23999023438,3689.28002929688,3690.01000976562,3779160000,3690.01000976562
"400",3694.03002929688,3703.82006835938,3689.32006835938,3703.06005859375,1883780000,3703.06005859375
